,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1586,CZE,Paint The Town Red,Doja Cat,Scarlet,89,9/20/2023,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
1587,CZE,Daylight,David Kushner,Daylight,95,4/14/2023,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
1588,CZE,Another Love,Tom Odell,Long Way Down (Deluxe),92,6/24/2013,AR,0.445,0.695,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
1589,CZE,STFU (feat. Calin & SIMILIVINLIFE),STEIN27,PRESIDENT OF SEXICO,62,8/25/2023,AR,0.691,0.0319,152583,0.886,0.507,0,0.144,-7.679,1,0.081,151.023,4,0.481
1590,CZE,Slzy,Sofian Medjmedj,PROJECT⎜23,50,10/19/2023,AR,0.664,0.3,150927,0.67,0,10,0.12,-8.341,0,0.112,135.954,4,0.509
1591,CZE,Ujde to,Viktor Sheen,Planeta opic,63,10/13/2023,AR,0.822,0.238,202667,0.531,2.39e-06,0,0.0859,-12.135,0,0.387,135.083,4,0.418
1592,CZE,Hannah Montana,Calin,POPSTAR,63,3/11/2022,AR,0.583,0.0621,158608,0.784,4.49e-05,6,0.171,-6.708,0,0.0882,135.08,4,0.744
1593,CZE,I'm Good (Blue),David Guetta,I'm Good (Blue),92,8/26/2022,AR,0.561,0.00383,175238,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
1594,CZE,King Kong,Ektor,King Kong,60,6/9/2023,AR,0.772,0.237,173589,0.847,0.000399,0,0.111,-6.182,0,0.0995,103.049,4,0.166
1595,CZE,OCD (feat. Annet X),Viktor Sheen,Planeta opic,62,10/13/2023,AR,0.642,0.102,127059,0.608,0,8,0.0339,-11.152,1,0.132,170.013,4,0.198
1596,CZE,The Night We Met,Lord Huron,Strange Trails,83,4/7/2015,CA,0.545,0.969,208212,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1
1597,CZE,DTB for Life,STEIN27,PRESIDENT OF SEXICO,57,8/25/2023,AR,0.532,0.00421,151579,0.839,0,1,0.237,-7.309,1,0.0422,170.94,4,0.558
1598,CZE,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",91,5/13/2022,AR,0.704,0.0826,148486,0.797,0.000745,0,0.0546,-5.927,1,0.0475,139.994,4,0.825
1599,CZE,Sunset,Separ,FLOWDEMORT,59,3/31/2023,AR,0.762,0.237,155520,0.805,0,1,0.11,-6.63,1,0.386,124.977,4,0.271
1600,CZE,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,8/4/2023,AR,0.634,0.0908,178156,0.824,0.0711,2,0.119,-3.394,0,0.047,137.959,4,0.371
1601,CZE,Amsterdam (feat. Calin),KOJO,Late Checkout,51,11/3/2023,AR,0.762,0.126,163636,0.509,0.215,11,0.348,-12.796,0,0.0668,131.945,4,0.549
1602,CZE,Pussy Power (feat. Porsche Boy),SIMILIVINLIFE,DVOJBODKAHVIEZDIČKA,57,10/20/2023,AR,0.9,0.0825,179557,0.737,0.267,6,0.291,-5.389,1,0.0731,133.998,4,0.489
1603,CZE,Vitej,Vadak,Vitej,58,12/13/2018,AR,0.7,0.669,140327,0.751,0,0,0.11,-7.482,1,0.367,109.973,4,0.389
1604,CZE,Lows,Viktor Sheen,Planeta opic,62,10/13/2023,AR,0.923,0.268,176000,0.408,0,6,0.0721,-12.265,0,0.335,120,4,0.26
1605,CZE,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,87,10/9/2012,AR,0.633,0.0267,258432,0.927,0,2,0.0986,-4.468,1,0.0839,146.097,4,0.88
1606,CZE,"PRŠÍ, PRŠÍ",Ben Cristovao,PROTENKONTRAST,58,7/1/2022,AR,0.675,0.257,187745,0.6,3.31e-05,4,0.359,-9.57,0,0.0667,89.982,4,0.476
1607,CZE,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,5/25/2023,AR,0.671,0.0207,176579,0.845,0,11,0.329,-4.93,0,0.048,110.056,4,0.775
1608,DOM,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,10/13/2023,AR,0.787,0.15,267194,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13
1609,DOM,FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,93,10/13/2023,AR,0.847,0.0869,216328,0.724,1.11e-06,1,0.118,-5.41,1,0.298,94.601,4,0.396
1610,DOM,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,10/13/2023,AR,0.911,0.0887,162768,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,0.345
1611,DOM,LALA,Myke Towers,LA VIDA ES UNA,97,3/23/2023,AR,0.708,0.0739,197920,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607
1612,DOM,SEDA,Bad Bunny,nadie sabe lo que va a pasar mañana,90,10/13/2023,AR,0.706,0.268,190476,0.566,1.02e-06,6,0.111,-6.441,0,0.126,125.876,4,0.23
1613,DOM,Eso E,Donaty,Eso E,62,10/6/2023,AR,0.836,0.179,139729,0.861,0.000179,0,0.0679,-2.436,1,0.456,125.144,4,0.963
1614,DOM,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,8/10/2023,AR,0.841,0.52,172798,0.738,0,7,0.0892,-7.455,0,0.307,169.918,4,0.484
1615,DOM,UN PREVIEW,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.795,0.0368,165582,0.815,3.82e-05,1,0.227,-3.322,1,0.0821,94.991,4,0.334
1616,DOM,THUNDER Y LIGHTNING,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.552,0.496,217133,0.744,0,4,0.112,-2.656,0,0.124,156.027,4,0.627
1617,DOM,HIBIKI,Bad Bunny,nadie sabe lo que va a pasar mañana,91,10/13/2023,AR,0.801,0.604,208000,0.645,0,6,0.118,-5.605,0,0.0706,119.935,4,0.528
1618,DOM,MR. OCTOBER,Bad Bunny,nadie sabe lo que va a pasar mañana,88,10/13/2023,AR,0.805,0.188,189259,0.612,1.96e-05,8,0.134,-5.682,0,0.172,126.013,4,0.425
1619,DOM,TELEFONO NUEVO,Bad Bunny,nadie sabe lo que va a pasar mañana,88,10/13/2023,AR,0.619,0.407,354784,0.619,0,2,0.0932,-6.238,1,0.491,125.752,4,0.393
1620,DOM,Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,95,7/28/2023,AR,0.822,0.179,199947,0.711,1.46e-05,6,0.083,-4.943,1,0.0668,102.984,4,0.934
1621,DOM,MERCEDES CAROTA,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.822,0.385,202635,0.487,6.55e-05,1,0.115,-5.815,1,0.223,134.046,4,0.193
1622,DOM,NO ME QUIERO CASAR,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.914,0.32,225655,0.698,8.76e-06,1,0.083,-5.228,1,0.115,99.011,4,0.757
1623,DOM,Classy 101,Feid,Classy 101,93,3/31/2023,AR,0.859,0.145,195987,0.658,0,11,0.12,-4.79,1,0.159,100.065,4,0.672
1624,DOM,WHERE SHE GOES,Bad Bunny,nadie sabe lo que va a pasar mañana,85,10/13/2023,AR,0.651,0.143,231704,0.799,0.634,9,0.112,-4.02,0,0.0611,143.992,4,0.223
1625,DOM,AMARGURA,KAROL G,MAÑANA SERÁ BONITO,90,2/24/2023,AR,0.92,0.183,170480,0.696,0,6,0.149,-3.356,0,0.0742,106.966,4,0.545
1626,DOM,CYBERTRUCK,Bad Bunny,nadie sabe lo que va a pasar mañana,88,10/13/2023,AR,0.704,0.371,191960,0.905,2.09e-06,6,0.107,-4.948,0,0.338,151.823,4,0.0991
1627,DOM,NADIE SABE,Bad Bunny,nadie sabe lo que va a pasar mañana,88,10/13/2023,AR,0.529,0.572,379059,0.711,0,11,0.0799,-5.016,0,0.0669,170.305,4,0.582
1628,DOM,un x100to,Grupo Frontera,El Comienzo,86,8/25/2023,AR,0.571,0.213,194563,0.72,0,9,0.271,-4.089,1,0.0458,83.827,4,0.542
1629,DOM,GRACIAS POR NADA,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.778,0.325,177451,0.555,0,6,0.111,-5.473,0,0.231,143.916,4,0.271
1630,DOM,Holanda,Jhayco,Holanda,92,7/28/2023,AR,0.831,0.277,231693,0.759,0,1,0.125,-3.627,0,0.0502,107.961,4,0.244
1631,DOM,Coco Chanel,Eladio Carrion,3MEN2 KBRN,86,3/17/2023,AR,0.683,0.0427,160325,0.764,0,2,0.0963,-5.995,1,0.0441,149.949,4,0.137
1632,DOM,Columbia,Quevedo,Columbia,94,7/7/2023,AR,0.668,0.369,186000,0.712,2.13e-05,5,0.108,-5.927,1,0.0381,100.02,4,0.264
1633,DOM,LOS PITS,Bad Bunny,nadie sabe lo que va a pasar mañana,87,10/13/2023,AR,0.751,0.442,250851,0.669,2.11e-06,7,0.15,-5.367,1,0.445,93.705,4,0.69
1634,DOM,Narcotics (with Bryant Myers),Dei V,Narcotics (with Bryant Myers),83,9/14/2023,AR,0.711,0.379,173991,0.718,0,1,0.119,-5.671,1,0.0994,159.953,4,0.689
1635,DOM,Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,90,5/6/2022,AR,0.911,0.0901,178567,0.712,2.68e-05,1,0.0933,-5.105,0,0.0817,92.005,4,0.425
1636,DOM,BABY NUEVA,Bad Bunny,nadie sabe lo que va a pasar mañana,89,10/13/2023,AR,0.866,0.504,240774,0.63,0.000505,10,0.328,-4.816,0,0.0616,117.924,4,0.359
1637,DOM,Fruto,Bizarrap,en dormir sin Madrid,91,10/4/2023,AR,0.801,0.494,133969,0.517,1.45e-06,2,0.355,-8.205,0,0.269,160.254,4,0.923
1638,DOM,Gently (feat. Bad Bunny),Drake,For All The Dogs,87,10/6/2023,AR,0.868,0.0479,133694,0.407,0.000111,10,0.139,-7.735,1,0.295,107.524,4,0.255
1639,DOM,VOU 787,Bad Bunny,nadie sabe lo que va a pasar mañana,86,10/13/2023,AR,0.834,0.0488,123644,0.555,0,5,0.265,-7.902,0,0.197,125.015,4,0.563
1640,DOM,Hey Mor,Ozuna,OzuTochi,87,10/7/2022,AR,0.901,0.00302,196600,0.589,0.000237,1,0.0992,-6.713,0,0.289,98.002,4,0.399
1641,DOM,Prepotente,Yaisel LM,Prepotente,63,7/18/2023,AR,0.862,0.438,125147,0.677,0.0139,0,0.156,-3.366,0,0.178,123.039,4,0.683
1642,DOM,TQG,KAROL G,MAÑANA SERÁ BONITO,89,2/24/2023,AR,0.72,0.673,199440,0.63,0,4,0.0936,-3.547,0,0.277,179.974,4,0.607
1643,DOM,"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,"Milo J: Bzrp Music Sessions, Vol. 57",88,10/3/2023,AR,0.795,0.527,192288,0.553,2.84e-06,4,0.112,-8.496,0,0.244,124.109,4,0.739
1644,DOM,Mbappe,Eladio Carrion,SEN2 KBRN VOL. 2,81,11/18/2022,AR,0.712,0.548,147692,0.684,0,7,0.168,-4.887,1,0.0512,130.038,4,0.513
1645,DOM,Chulo pt.2,Bad Gyal,Chulo pt.2,90,6/22/2023,AR,0.852,0.0602,219333,0.881,6.44e-06,5,0.0682,-2.546,0,0.126,96.984,4,0.556
